0.518719,2.42847,-1.01196,0.339841,
0.500684,2.28257,-0.953514,0.320342,
0.482698,2.14577,-0.898766,0.302011,
0.46476,2.01742,-0.847421,0.284764,
0.446869,1.89693,-0.799205,0.268525,
0.429023,1.7837,-0.753865,0.253219,
0.411223,1.67718,-0.711163,0.238776,
0.393469,1.57686,-0.670877,0.225128,
0.375763,1.48223,-0.632796,0.212213,
0.358105,1.39282,-0.596724,0.199966,
0.340499,1.30817,-0.562472,0.188331,
0.322947,1.22786,-0.529862,0.177249,
0.305456,1.15148,-0.498723,0.166667,
0.28803,1.07862,-0.468892,0.156532,
0.270677,1.00893,-0.440216,0.146794,
0.253409,0.942028,-0.412546,0.137405,
0.236235,0.877595,-0.385744,0.128321,
0.219173,0.815311,-0.359677,0.119498,
0.202241,0.754883,-0.334225,0.110897,
0.185461,0.696042,-0.309276,0.102482,
0.168862,0.638551,-0.284731,0.0942201,
0.152478,0.582206,-0.260506,0.0860845,
0.136352,0.526846,-0.236536,0.078054,
0.120535,0.47236,-0.21278,0.0701149,
0.10509,0.418699,-0.189222,0.0622626,
0.0900932,0.365893,-0.165885,0.0545041,
0.0756386,0.314066,-0.142832,0.0468605,
0.0618398,0.263459,-0.120184,0.0393705,
0.0488351,0.214458,-0.098127,0.0320949,
0.0367934,0.167632,-0.0769336,0.0251217,
0.0259199,0.123771,-0.0569799,0.0185726,
0.0164649,0.083941,-0.0387722,0.0126112,
0.00873271,0.0495502,-0.0229772,0.00745282,
0.003094,0.0224262,-0.0104599,0.0033767,
0,0.00491483,-0.00233041,0.000740776,
